Muhammad Syah;"YTH BPK MENDIKBUD:Mohon izin menyampaikan :Terima kasih atas banyak kebijakan Penggunaan Dana BOS di masa Covid 19. Terutama  memberi kebebasan pada sekolah yg bersangkutan dlm perencanaan dan penggunaan dana Bos. Tentunya tetap memenuhi standar Prioritas, dan transparan dan akuntabel. Di samping utk kegiatan/kelengkapan antisipasi penyebaran Covid, tentu anggaran UTK PBM skala prioritas. Termasuk penggunaan 50% utk Pembayaran tenaga honor. HANYA SAJA YG JADI KELUHAN KAMI ORANGTUA MURID, KHUSUS SEKOLAH SLTA NEGERI, MENGAPA MASIH DI BERANI DENGAN KEWAJIBAN MEMBAYAR UANG WAJIB BULANAN /SPP SA'AT PANDEMI DAN EKONOMI SULIT?? ??Tentunya ini memberatkan dan menambah beban derita masyarakat. Yang pasti sampai sa'at ini. Utk dana bos Mekanisme perencanaan penggunaan, Apalagi laporan realisasi penggunaan TIDAK TRANSPARAN Kepada Guru, Komite sekolah apalagi Masyarakat. MOHON SOLUSINYA PAK MENTERI. TERKHUSUS SLTA NEGERI YG SAYA SAMPAIKAN. ARTINYA PRILAKU SEKOLAH TDK MENUTUP KEMUNGKINAN DINAS TERKAIT MEMBERLAKUKAN. PUNGUTAN YANG TIDAK BERUBAH BAIK SDH ADA KEBIJAKAN PAK MENTERI, MAUPUN SEBELUM ADA KEBIJAKAN BARU. KELAKUKAN YANG DI PERBUAT SAMA SAJA ""CENDERUNG KE ARAH PUNGLI BULANAN DENGAN DALIH SPP"". Mohon di SIKAPI  PAK MENTERI ATAS PRILAKU DAN MORALITAS PARA PEMANGKU TERKAIT. TERIMA KASIH.";Negatif;;2020-07-21T15:48:58Z
rere tv;Yg jadi masalah berikutnya anak2 sekampoong pd ga bisa tidoor mas jam 2 ato jam 3 malem mereka baru bisa tidorrr & itu terjadi sama anak2 juga yg masih TK bisa tidur jam 12 malem.. karena mereka kurang ada kegiatan & kurang mikirrr buat belajar g seperti biasanya ,gmn tuh ?? Udah w saranin buat larii2 ,maen ,olah raga udah pd bosyenn katanya.. Gw aja yg tua bnyk kegiatan udh capek masih susahh tidur apalgi mereka ..?? Jadi binguung deh suruh ngapain;negatif;;2020-06-16T04:33:17Z
muhammad ardhi;"Yang salah tu yg nunjuk dia jadi mentri pendidikan,gak punya pengalaman dan ilmu yg mumpuni sbg Mentri ""Pendidikan"" itu sangat berat harus org yg punya pengalaman/atau yg udh lama berkecimpung di bidang pendidikan dan ilmu yg mumpuni.\nHarusnya dia lebih cocok mentri perhubungan atau semacamnya..";negatif;;2021-01-31T07:59:58Z
Cik Pelikelilik;Yang dilihat cuman yang di Kota, MAAF KITA YANG DIDESA DI LIHAT GAK?.... JANGAN AMBIL SAMPLE 1 2 3 SAJA KALAU MEMANG NIAT LIHAT SEMUA NYA.;negatif;;2020-12-16T07:27:04Z
MIXBOT OFFICIAL;YANG ADA PADA MABAR MAIN GAME KALO DI RUMAH MULU;negatif;;2020-12-01T23:47:10Z
Adinda Rizky Aprilia;Ya Allah , semoga sekolahan mau melaksanakan kurikulum darurat yang dianjurkan kemendikbud , uda nggak tahan belajar di rumah dengan sistem kurikulum lama , uda hanya dikasih tugas aja tanpa diterangkan , tugasnya pun nggak toleran;Negatif;;2020-11-20T07:34:01Z
Suseno Eno;Untuk Tes Umptn gimana mas bro??;Negatif;;2020-11-07T00:16:54Z
Bang Yan Official;Tidak cocok jd mentri pendidikan....turun aja elo;negatif;;2020-09-03T04:35:45Z
Arihana Khairunisa;Tidak adakah kompensasi untuk pembayaran spp untuk sekolah swasta pak?belajar drumah, spp, iuran UTS + PTS bayar 100%,pdhl keadaan pemasukan bulanan hanya 40%??;Negatif;;2020-09-03T01:30:00Z
muhammad amdad;Tidak Ada Wabah Selain Korupsi\nJadi untuk pendidikan mending di tatap muka aja orang flu aja dirapid bisa kena jadi covid kan ngga masuk akal :v;negatif;;2020-09-03T00:40:54Z
