Dannay Bim;Zona merah zona Oren,kuning ijo resikonya sama dari pada anak anak buat tumbal kovid alangkah baiknya belajar dirumah sampai vaksin ditemukan;netral;;2020-11-07T22:41:20Z
Bambang Wibi;Zaman ku dulu masih enak, ada Televisi Pendidikan Indonesia sebelum menjadi TPI;negatif;;2020-10-13T02:34:15Z
Indra Sugi;Yukssss....belajar dl dr mendiknas jaman dl  pintar dan bijak spt Bp. fuad hasan............\nSaudara sy yg msh kekurangan spt kami jg kesusahan beli pulsa ut bjj tuh....\nBegimane....;negatif;;2020-09-28T05:54:36Z
Arum Catur;Yth. Pak mentri tolong beri kebijakan agar seluruh sekolah dan universitas untuk memotong biaya pendidikan. Terimakasih;netral;;2020-09-24T03:30:55Z
Feliks Dasman;Yth. Pak Menteri. \nDalam pelaksanaan pembelajaran di sekolah. Sering kali guru dihadapkan pada masalh teknis pembelajaran daring bagaimana menggunakan aplikasi pembelajaran daring agar pembelajaran itu berjalan efektif dan efisien, keterbatasan fasilitas bgi peserta didik oleh karena kemampuan ekonomi orang tua tidak mampu membeli smartphone atau media pembelajaran pendukung, kurang didukung oleh jaringan listrik dan internet. Harapan saya kpd bpk Menteri  bahwa ini menjadi perhatian dalam upaya melaksanakan pembelajaran daring di masa pandemi  ini, selain itu  kemendikbud perlu mengembangkan suatu aplikasi utama yang akan dipergunakan dalam pembelajaran  oleh guru dan siswa yang memungkinkan terjadi pembelajaran yang interaktif. Aplikasi tersebut kalau berkenan dikembangkan menjadi soft file yg dibagikan kpada seluruh sekolah se indonesia. Terima kasih.\nSalam dari pojok Timur Indonesia;netral;;2020-09-01T13:00:45Z
Li Susanto;"Yth Bpk. Menteri. Sampai saat ini sekolah (swasta) tempat saya menyekolahkan anak-anak saya sedikitpun tidak memberikan pemotongan SPP. Saya mendengar (entah benar/tidak) bahwa kemendikbud telah mengeluarkan aturan agar sekolah melakukan pemotongan SPP. Jika benar demikian, seperti banyak kebijakan lainnya, jika tanpa pengawasan dan sangsi tegas maka praktek di lapangan akan selalu seperti ini, apalagi mengingat posisi sekolah swasta yang merupaka suatu ""bisnis"" yang tidak akan mengikuti suatu aturan jika idak ada sangsi tegas bagi mereka. Akan sangat baik aturan tersebut tidak hanya sekedar himbauan tapi juga disertai pengawasan dan bahkan lebih baik lagi jika diberikan fasilitas untuk pengaduan (yang ada operator aktifnya, tidak hanya nomor telepon belaka yang tidak dapat dihubungi) jika ada sekolah yang tidak menerapkan aturan yang telah ditentukan oleh kemendikbud terkait kewajiban pemotongan SPP ini. Tks";netral;;2020-07-27T13:29:58Z
Totanium TV;You sir, already get my respect.. Mas Menteri salah satu hasil pemilihan pejabat yang tepat dr bpk Jokowi.. Berkualitas dan berpikir besar..;positif;;2020-07-14T06:30:12Z
Jaya Pradha;You should be the next President. Indonesia needs more people like you Mas Menteri.;positif;;2020-07-13T17:00:32Z
#Analisa K;Yg terbaik???\n \nBung anda ini jangan hanya melihat indonesia di Jakarta atau kota2 besar di indonesia yang serba modern... tpi lihatlah diluar dari itu... lihat lah masayarakat kecil, daerah terpencil yang serba kekurangan di bidang teknologi;negatif;;2020-11-02T03:24:03Z
Dhika Dhikaa;Yg terbaik dan menguntungkan ??;negatif;;2020-07-11T18:48:27Z
Muhammad Hawari Aflah;YG PALING SEBEL SAMA EMAK EMAK YG SOK NGELINDUNGI ANAKNYA, NYATANYA GINI.\n\nANAK : MAK AKU SEKOLAH YAAA\nEMAK : JANGAN NAK BANYAK VIRUS\n\nANAK : MAK AKU PINGIN LIBURAN ATAU PEEGI KE MALL\nEMAK : OK AYOOO\n\nSAMA AJA ??????????;negatif;;2020-07-06T06:21:43Z
Fatih Ghaus Al Farouqh;Yg paLing Enak para pengGaGas ide yg supper aneh utk metode pndidikan jmn now ini??& yg paLing untung adlh para pejabat yg Gaji nya ttep ngaLir dlm suasana apapun??;negatif;;
Bagus Setiawan;Yg lebih parah lagi adanya krisis kepercayaan antara rakyat dengan pemerintah;negatif;;2020-06-21T07:43:36Z
alifia nudia;Yg kurang dr pendidikan di Indonesia yaitu satu, siswa tidak dibuat jatuh hati di negaranya sendiri;negatif;;2020-06-19T03:41:31Z
Pd Gjh;"yg kayak begini hrs didukung dng sepenuh hati .ini membuat murid lebih maju dalam belajar . ""mandiri""";positif;;2020-06-18T19:22:28Z
Etrama Diraizel;yg kasihan yg tinggl di pelosok pak...  gk ada sinyal buat skolah...;negatif;;2020-06-17T00:21:53Z
gareng semar;yg dulu negatif terhadap Nadim, otaknya sudah kebuka?? terutama orang2 yg ngaku pintar bergelar profesor;negatif;;2020-06-15T17:02:52Z
Jhoni Toker;Yg dipikirkan pendidikan saja..tapi anda berbisnis dalam pendidikan...;negatif;;2021-03-13T06:44:27Z
King Aston;Yg bilang alesan, fix otaknya pendek.;negatif;;2021-03-09T17:35:35Z
Wita Febriana;yg bikin sebel itu sekolah tetap bayar, anak belajar dirumah diajarin orang tua yg notabene gak punya skill sbg guru, dan guru dari sekolah pengawasan hanya lewat video dan vidcall itupun tidak setiap hari...di vidcall hanya sebulan sekali. dan paling kesel lagi saat ngajarin anak, fokus kita pecah antara ngajarin sama liatin hp buat bikin recording;negatif;;2021-03-05T02:56:37Z
Sigit Purwanto;Yg bikin rusak negara sebenernya cman 1 politik, dngan adanya politik masyarakan jdi trpecah belah;netral;;2021-03-05T02:54:07Z
KangOjolid;yess, setuju!! sekolah itu tempat anak belajar bersosial, apalagi anak kecil. bersosial bagi anak2 kecil itu sangat penting;positif;;2021-02-23T15:22:29Z
C. Dewi Karinawati;Yes P Nadiem, u r right P Nadiem, usul sj buat pembelajaran membimbing buat ortu dng video dari contoh anak tatap muka yng real jangan hanya arahan tertulis, agar lbh mengena dan tepat sasaran;positif;;2021-02-06T02:20:33Z
nadonado;Yawda si murahkan atau subsidi aja KUOTA dulu. Buibu mulai pada bokek ni;negatif;;2021-02-05T06:40:58Z
Valerie Amalinda;"Yasshhh, gagasan Pa Nadiem bgs bgt, apalagi soal peran orang tua dengan sejumlah plus minus nya, tapi terkadang banyak orang tua yg "" memanipulasi "" hal itu, contohnya kyk bikin nasgor td, ttp ortunya yg bikin dan si anak cuma disuruh menulis resep ortunya tanpa turun tangan langsung atau bahkan tidak ada praktik sm sekali dari kedua belah pihak , dan ini yang menjadi permasalahannya";positif;;2021-02-01T05:47:08Z
NV Chanel;Yang perlu dipertimbnagkan untuk guru  honorer atau guru di sekolah swasta adalah masalah gaji yang rendah bahkan dibawah UMR\r\nKok bias gaji guru dibawah UMR ?\r\nPerhitungan sederhana nya seperti ini\r\nSeorang guru mengajar dengan jumlah jam 24 jam per minggu dengan honor Rp 30.000,- per jam nya.\r\nBerapakah gaji yang diterima guru honor tersebut ?\r\nRp 30.000,- x 24 = Rp 720.000,-\r\nMaka guru honor tersebut menerima gaji sebesar Rp 720.000,- per bulan\r\nYang jadi pertanyaannya gaji  Rp 720.000,- itu jumlah jam per minggu sementara satu bulan ada 4 minggu. Kemanakah hitungan jam  selama 3 minggu dalam 1 bulan guru honor tersebut ?\r\nInilah yang harus di bereskan oleh pak menteri;netral;;2021-01-25T06:19:01Z
