Kang Dejan;Mentri bisnis , sajig!;;;2020-08-20T22:28:09Z
Yericho Hengky;Menteri yg luar biasa, dan bisa memposisikan dirinya sebagai pejabat negara,\nwalaupun om deddy nanya pake bahasa inggris, tp mas nadiem selalu jawab pake bahasa indonesia.\n\nit was awesome!!!;;;2020-08-20T21:00:40Z
Christopher Dimas;Menteri yg luar biasa ??;;;2020-08-20T20:38:28Z
Rahmat Gaho;Menteri yg hebat karena melakukan hal positif ditengah2 krisis. You are the best menteri pendidikan at this time.;;;2020-08-20T20:10:26Z
Fahrenny Vanilla;Menteri yang tepat.. disaat yang tepat..termasuk disaat Covid...\nAllah berikan amanah kpd seseorang yang mampu...;;;2020-08-20T19:51:19Z
bachtiar ibrahim;Menteri yang paling menginspirasi, terbuka dan siap untuk di kritikan habis-habisan, siap melakukan program apapun. Hanya untuk Satu alasan yaitu untuk siswa??;;;2020-08-20T18:57:36Z
Gerry Albatama;Menteri yang paling aku kagumi;;;2020-08-20T18:43:49Z
Satria Awang;Menteri retorika;;;2020-08-20T18:40:13Z
Karepmoe Dewe;Menteri Pendidikan yang beneran konsen dengan pendidikan. Yang sebelum-sebelumnya? Hmm....;;;2020-08-20T18:32:46Z
tri hartanto;Menteri pendidikan berbasis aplikasi. Jadi para siswa disuruh belajar dirumah pake aplikasi. Trus apa bedanya dengan gojek;;;2020-08-20T18:26:41Z
Joko Purwanto;Menteri paling top banyak ide cemerlang buat dunia pendidikan Indonesia tp terhenti karena wabah;;;2020-08-20T18:25:29Z
Blue Moon;Menteri idolaku ????;;;2020-08-20T18:20:08Z
Bani 110482;Menteri belum berpengalaman,kok,guru buat uji coba,dilaboratorikan..hadeuh...;;;2020-08-20T18:14:47Z
Sri Lrstari;Menter indolaku ????;;;2020-08-20T18:14:00Z
jayeng rana;Menjadi menteri Pendidikan dalam sutuasi apapun bukan suatu yang mudah apalagi dalam situasi covid yang kumpul adalah tabu. Pendidikan bukan hanya pengajaran tapi pembentukan watak dan karakter. Persoalan pendidikan adalah persoalan manusia dengan segala aspeknya termasuk aspek sosial, sejarah dan budaya. Karena dengan tidak mengurangi rasa hormat pada Mas Nadim, sesungguhnya beliau orang muda pinter dan kreativ yang salah tempat. Pendidikan diperlukan kecerdasan tapi lebih penting penghayatan sehingga gak keliru ambil kebijakan. \nKekeliruan kebijakan pendidikan akan menimbulkan loss generasi.;;;2020-08-20T18:12:50Z
Asep Junaedi;"Menit"" terakhir asli merinding gua denger nya.\nThis good karena dulu banyak siswa termasuk gua ngeluh soal belajar di sekolah secara konvensional, dan kalo rencana Bapak mentri pendidikan Pak nadiem buat kombinasi antara belajar konvensional dan digital setuju banget. That's in my opinion and I don't know if it's good for the others.";;;
Gunawan Rio;Menit 36:00 Betul banget, sekolah online menguntungkan pihak sekolah. Karene org tuanya yg jadi guru, biaya internet, biaya spp tetep 100%;;;2020-08-20T17:47:17Z
MM;Mengingatkan saya sosok gusdur yang cerdas dan disertai kebijakan kontroversial;;;2020-08-20T17:35:46Z
