"gw,saya"
elu,kamu"
"lu,kamu"
"utk,untuk"
"cerdass,cerdas"
"gilaa,gila"
"gk,gak"
"bs,bisa"
"ksh,kasih"
"krn,karena"
"smangat,semangat"
alhmdllh
"dgn,dengan"
"jgn,jangan"
"lue,kamu"
"gue,saya"
"bgmn,bagaimana"
"ms,mas"
"lagiiiiiiiiiiiiiiiiiiiiiiiiiiii,lagi"
"cmn,cuman"
"kl,kalau"
"ortu,orang tua"
"yg,yang"
"spt,seperti"
"sdh,sudah"
"dg,dengan"
"pendidikam,pendidikan"
"tdk,tidak"
"sy,saya"
"bpk,bapak"
"thn,tahun"
"org,orang"
"n,dan"
"skolah,sekolah"
"smoga,semoga"
"karna,karena"
"kek,seperti"
"mhswa,mahasiswa"
"kyk,seperti"
"jd,jadi"
"yaaa,ya"
"mantabs,mantap"
"jdi,jadi"
"sistrm,sistem"
"ttp,tetap"
"th,tahun"
"gaass,gas"
"bangeeet,banget"
"sbb,sebagai berikut"
"mentri,menteri"
"nadim,nadiem"
"ky,seperti"
"koq,kok"
"pemerintaah,pemerintah"
"kpn,kapan"
"intsitusi,institusi"
"aq,saya"
"ua,ya"
"diem,diam"
"aje,aja"
"diterma,diterima"
"meruba,merubah"
"blajar,belajar"
"nda,engga"
"gua,saya"
"sll,selalu"
"sanga,sangat"
"bsa,bisa"
"stngh,setengah"
"gada,tidak ada"
"nggak,tidak"
"ngga,tidak"
"ga,tidak"
"gak,tidak"
"udhlh,sudahlah"
"aj,aja"
"kerjaany,kerjaannya"
"pda,pada"
"bgdang,begadang"
"mlu,mulu"
"lgi,lagi"
"jkt,jakarta"
"mentriiiiiiiiii,menteri"
"sampean,kamu"
"klo,kalau"
"udh,sudah"
"ni,ini"
"dah,sudah"
"brow,bro"
"teruuuus,terus"
"untk,untuk"
"pakakai,pakai"
"haru,harus"
"slah,salah"
"klu,kalau"
"tp,tapi"
"dsni,disini"
"smua,semua"
"bhas,bahas"
"naadiem,nadiem"
"sm,sama"
"kt,kata"
"keknya,sepertinya"
"skrg,sekarang"
"skrng,sekarang"
"bnyk,banyak"
"dll,dan lain lain"
"wong,orang"
"donk,dong"
"stengah,setengah"
"stengahnya,setengahnya"
"sekarangg,sekarang"
"rasain,rasakan"
"bekajar,belajar"
"dl,dulu"
"dlm,dalam"
"bp,bapak"
"dr,dari"
"gmn,gimana"
"sklh,sekolah"
"anakny,anaknya"
"bljr,belajar"
"drpd,daripada"
"mol,mall"
"semustinya,semestinya"
"stiap,setiap"
"bnyak,banyak"
"u,kamu"
"knapa,kenapa"
"pnting,penting"
"blm,belum"
"knp,kenapa"
"mantapss,mantap"
"p,pak"
"aplg,apalagi"
"slh,salah"
"tmasuk,termasuk"
"pa,pak"
"majuu,maju"
"teruss,terus"
"dri,dari"
"critanya,ceritanya"
"crita,cerita"
"bukak,buka"
"ngeh,paham"
"gblk,goblok"
"pendikan,pendidikan"
"emg,emang"
"tu,itu"
"g,tidak"
"mentrinya,menterinya"
"noo,no"
"ndidik,mendidik"
"pamdemi,pandemi"
"cerdasny,cerdasnya"
"planingny,planingnya"
"rebahannnnnnn,rebahan"
"seharysnya,seharusnya"
"blg,bilang"
"nnti,nanti"
"says,saya"
"pendidikn,pendidikan"
"vidio,video"
"lg,lagi"
"sekola,sekolah"
"cpt,cepat"
"skr,sekarang"
"sebenax,sebenarnya"
"sampe,sampai"
"hub,hubungan"
"kalo,kalau"
"salh,salah"
"brrti,berarti"
"bngt,banget"
"masi,masih"
"prbadi,pribadi"
"ama,sama"
"kren,keren"
"ngk,tidak"
"milih,pilih"
"cm,cuma"
"bntar,sebentar"
"ngasi,memberi"
"mo,mau"
"kereeeen,keren"
"korona,corona"
"mnrt,menurut"
"msk,masuk"
"gwe,saya"
"wlpun,walaupun"
"hebatttt,hebat"
"cuman,cuma"
"nadiemm,nadiem"
"maen,main"
"sbg,sebagai"
"adaptid,adaptif"
"br,baru"
"knpa,kenapa"
"dipertimbnagkan,dipertimbangkan"
"kaga,tidak"
"d,di"
"mngalmi,mengalami"
"sudh,sudah"
"bnr,benar"
"trsbut,tersebut"
"semangaaaat,semangat"
"sekolahh,sekolah"
"drumah,dirumah"
"tmpat,tempat"
"tidk,tidak"
"taun,tahun"
"ny,nya"
"mz,mas"
"si,sih"
"msh,masih"
"lbh,lebih"
"sdr,saudara"
"tidsk,tidak"
"ank,anak"
"disc,diskon"
"kurng,kurang"
"grgr,garagara"
"nie,ini"
"hrsnya,harusnya"
"udah,sudah"
"uda,sudah"
"guee,saya"
"nadin,nadiem"
"mks,makasih"
"kit,kita"
"menjd,menjadi"
"trs,terus"
"semat,semangat"
"seorg,seorang"
"bgini,begini"
"mntak,minta"
"mnjelaskan,menjelaskan"
"sklah,sekolah"
"nggk,tidak"
"sma,sama"
"lngsung,langsung"
"sklhhhh,sekolah"
"doang,aja"
"mang,memang"
"ne,ini"
"bkn,bukan"
"jwbannya,jawabannya"
"pmbdohn,pembodohan"
"dmn,dimana"
"mntri,menteri"
"ma,sama"
"sblm,sebelum"
"sbgi,sebagai"
"entar,nanti"
"tlg,tolong"
"negri,negeri"
"gogle,google"
