,Nama,Komentar,Sentimen,Time,hasil_sentimen,hasil_komentar,tokenizing,normalisasi,stopword,stemmed,preprocessing
0,Dannay Bim,"Zona merah zona Oren,kuning ijo resikonya sama dari pada anak anak buat tumbal kovid alangkah baiknya belajar dirumah sampai vaksin ditemukan",netral,2020-11-07T22:41:20Z,netral,"Zona merah zona Oren,kuning ijo resikonya sama dari pada anak anak buat tumbal kovid alangkah baiknya belajar dirumah sampai vaksin ditemukan","['zona', 'merah', 'zona', 'orenkuning', 'ijo', 'resikonya', 'sama', 'dari', 'pada', 'anak', 'anak', 'buat', 'tumbal', 'kovid', 'alangkah', 'baiknya', 'belajar', 'dirumah', 'sampai', 'vaksin', 'ditemukan']","['zona', 'merah', 'zona', 'orenkuning', 'ijo', 'resikonya', 'sama', 'dari', 'pada', 'anak', 'anak', 'buat', 'tumbal', 'kovid', 'alangkah', 'baiknya', 'belajar', 'dirumah', 'sampai', 'vaksin', 'ditemukan']","['zona', 'merah', 'zona', 'orenkuning', 'ijo', 'resikonya', 'anak', 'anak', 'tumbal', 'kovid', 'alangkah', 'baiknya', 'belajar', 'dirumah', 'vaksin', 'ditemukan']","['zona', 'merah', 'zona', 'orenkuning', 'ijo', 'resiko', 'anak', 'anak', 'tumbal', 'kovid', 'alangkah', 'baik', 'ajar', 'rumah', 'vaksin', 'temu']",zona merah zona orenkuning ijo resiko anak anak tumbal kovid alangkah baik ajar rumah vaksin temu
1,Bambang Wibi,"Zaman ku dulu masih enak, ada Televisi Pendidikan Indonesia sebelum menjadi TPI",negatif,2020-10-13T02:34:15Z,negatif,"Zaman ku dulu masih enak, ada Televisi Pendidikan Indonesia sebelum menjadi TPI","['zaman', 'ku', 'dulu', 'masih', 'enak', 'ada', 'televisi', 'pendidikan', 'indonesia', 'sebelum', 'menjadi', 'tpi']","['zaman', 'ku', 'dulu', 'masih', 'enak', 'ada', 'televisi', 'pendidikan', 'indonesia', 'sebelum', 'menjadi', 'tpi']","['zaman', 'ku', 'enak', 'televisi', 'pendidikan', 'indonesia', 'tpi']","['zaman', 'ku', 'enak', 'televisi', 'didik', 'indonesia', 'tpi']",zaman ku enak televisi didik indonesia tpi
2,Indra Sugi,Yukssss....belajar dl dr mendiknas jaman dl pintar dan bijak spt Bp. fuad hasan............\nSaudara sy yg msh kekurangan spt kami jg kesusahan beli pulsa ut bjj tuh....\nBegimane....,negatif,2020-09-28T05:54:36Z,negatif,Yukssss....belajar dl dr mendiknas jaman dl pintar dan bijak spt Bp. fuad hasan............\nSaudara sy yg msh kekurangan spt kami jg kesusahan beli pulsa ut bjj tuh....\nBegimane....,"['yukssssbelajar', 'dl', 'dr', 'mendiknas', 'jaman', 'dl', 'pintar', 'dan', 'bijak', 'spt', 'bp', 'fuad', 'hasan', 'saudara', 'sy', 'yg', 'msh', 'kekurangan', 'spt', 'kami', 'jg', 'kesusahan', 'beli', 'pulsa', 'ut', 'bjj', 'tuh', 'begimane']","['yukssssbelajar', 'dulu', 'dari', 'mendiknas', 'jaman', 'dulu', 'pintar', 'dan', 'bijak', 'seperti', 'bapak', 'fuad', 'hasan', 'saudara', 'saya', 'yang', 'masih', 'kekurangan', 'seperti', 'kami', 'jg', 'kesusahan', 'beli', 'pulsa', 'ut', 'bjj', 'tuh', 'begimane']","['yukssssbelajar', 'mendiknas', 'jaman', 'pintar', 'bijak', 'fuad', 'hasan', 'saudara', 'kekurangan', 'jg', 'kesusahan', 'beli', 'pulsa', 'ut', 'bjj', 'begimane']","['yukssssbelajar', 'mendiknas', 'jaman', 'pintar', 'bijak', 'fuad', 'hasan', 'saudara', 'kurang', 'jg', 'susah', 'beli', 'pulsa', 'ut', 'bjj', 'begimane']",yukssssbelajar mendiknas jaman pintar bijak fuad hasan saudara kurang jg susah beli pulsa ut bjj begimane
3,Arum Catur,Yth. Pak mentri tolong beri kebijakan agar seluruh sekolah dan universitas untuk memotong biaya pendidikan. Terimakasih,netral,2020-09-24T03:30:55Z,netral,Yth. Pak mentri tolong beri kebijakan agar seluruh sekolah dan universitas untuk memotong biaya pendidikan. Terimakasih,"['yth', 'pak', 'mentri', 'tolong', 'beri', 'kebijakan', 'agar', 'seluruh', 'sekolah', 'dan', 'universitas', 'untuk', 'memotong', 'biaya', 'pendidikan', 'terimakasih']","['yth', 'pak', 'menteri', 'tolong', 'beri', 'kebijakan', 'agar', 'seluruh', 'sekolah', 'dan', 'universitas', 'untuk', 'memotong', 'biaya', 'pendidikan', 'terimakasih']","['menteri', 'tolong', 'kebijakan', 'sekolah', 'universitas', 'memotong', 'biaya', 'pendidikan', 'terimakasih']","['menteri', 'tolong', 'bijak', 'sekolah', 'universitas', 'potong', 'biaya', 'didik', 'terimakasih']",menteri tolong bijak sekolah universitas potong biaya didik terimakasih
4,Feliks Dasman,"Yth. Pak Menteri. \nDalam pelaksanaan pembelajaran di sekolah. Sering kali guru dihadapkan pada masalh teknis pembelajaran daring bagaimana menggunakan aplikasi pembelajaran daring agar pembelajaran itu berjalan efektif dan efisien, keterbatasan fasilitas bgi peserta didik oleh karena kemampuan ekonomi orang tua tidak mampu membeli smartphone atau media pembelajaran pendukung, kurang didukung oleh jaringan listrik dan internet. Harapan saya kpd bpk Menteri bahwa ini menjadi perhatian dalam upaya melaksanakan pembelajaran daring di masa pandemi ini, selain itu kemendikbud perlu mengembangkan suatu aplikasi utama yang akan dipergunakan dalam pembelajaran oleh guru dan siswa yang memungkinkan terjadi pembelajaran yang interaktif. Aplikasi tersebut kalau berkenan dikembangkan menjadi soft file yg dibagikan kpada seluruh sekolah se indonesia. Terima kasih.\nSalam dari pojok Timur Indonesia",netral,2020-09-01T13:00:45Z,netral,"Yth. Pak Menteri. \nDalam pelaksanaan pembelajaran di sekolah. Sering kali guru dihadapkan pada masalh teknis pembelajaran daring bagaimana menggunakan aplikasi pembelajaran daring agar pembelajaran itu berjalan efektif dan efisien, keterbatasan fasilitas bgi peserta didik oleh karena kemampuan ekonomi orang tua tidak mampu membeli smartphone atau media pembelajaran pendukung, kurang didukung oleh jaringan listrik dan internet. Harapan saya kpd bpk Menteri bahwa ini menjadi perhatian dalam upaya melaksanakan pembelajaran daring di masa pandemi ini, selain itu kemendikbud perlu mengembangkan suatu aplikasi utama yang akan dipergunakan dalam pembelajaran oleh guru dan siswa yang memungkinkan terjadi pembelajaran yang interaktif. Aplikasi tersebut kalau berkenan dikembangkan menjadi soft file yg dibagikan kpada seluruh sekolah se indonesia. Terima kasih.\nSalam dari pojok Timur Indonesia","['yth', 'pak', 'menteri', 'dalam', 'pelaksanaan', 'pembelajaran', 'di', 'sekolah', 'sering', 'kali', 'guru', 'dihadapkan', 'pada', 'masalh', 'teknis', 'pembelajaran', 'daring', 'bagaimana', 'menggunakan', 'aplikasi', 'pembelajaran', 'daring', 'agar', 'pembelajaran', 'itu', 'berjalan', 'efektif', 'dan', 'efisien', 'keterbatasan', 'fasilitas', 'bgi', 'peserta', 'didik', 'oleh', 'karena', 'kemampuan', 'ekonomi', 'orang', 'tua', 'tidak', 'mampu', 'membeli', 'smartphone', 'atau', 'media', 'pembelajaran', 'pendukung', 'kurang', 'didukung', 'oleh', 'jaringan', 'listrik', 'dan', 'internet', 'harapan', 'saya', 'kpd', 'bpk', 'menteri', 'bahwa', 'ini', 'menjadi', 'perhatian', 'dalam', 'upaya', 'melaksanakan', 'pembelajaran', 'daring', 'di', 'masa', 'pandemi', 'ini', 'selain', 'itu', 'kemendikbud', 'perlu', 'mengembangkan', 'suatu', 'aplikasi', 'utama', 'yang', 'akan', 'dipergunakan', 'dalam', 'pembelajaran', 'oleh', 'guru', 'dan', 'siswa', 'yang', 'memungkinkan', 'terjadi', 'pembelajaran', 'yang', 'interaktif', 'aplikasi', 'tersebut', 'kalau', 'berkenan', 'dikembangkan', 'menjadi', 'soft', 'file', 'yg', 'dibagikan', 'kpada', 'seluruh', 'sekolah', 'se', 'indonesia', 'terima', 'kasih', 'salam', 'dari', 'pojok', 'timur', 'indonesia']","['yth', 'pak', 'menteri', 'dalam', 'pelaksanaan', 'pembelajaran', 'di', 'sekolah', 'sering', 'kali', 'guru', 'dihadapkan', 'pada', 'masalh', 'teknis', 'pembelajaran', 'daring', 'bagaimana', 'menggunakan', 'aplikasi', 'pembelajaran', 'daring', 'agar', 'pembelajaran', 'itu', 'berjalan', 'efektif', 'dan', 'efisien', 'keterbatasan', 'fasilitas', 'bgi', 'peserta', 'didik', 'oleh', 'karena', 'kemampuan', 'ekonomi', 'orang', 'tua', 'tidak', 'mampu', 'membeli', 'smartphone', 'atau', 'media', 'pembelajaran', 'pendukung', 'kurang', 'didukung', 'oleh', 'jaringan', 'listrik', 'dan', 'internet', 'harapan', 'saya', 'kpd', 'bapak', 'menteri', 'bahwa', 'ini', 'menjadi', 'perhatian', 'dalam', 'upaya', 'melaksanakan', 'pembelajaran', 'daring', 'di', 'masa', 'pandemi', 'ini', 'selain', 'itu', 'kemendikbud', 'perlu', 'mengembangkan', 'suatu', 'aplikasi', 'utama', 'yang', 'akan', 'dipergunakan', 'dalam', 'pembelajaran', 'oleh', 'guru', 'dan', 'siswa', 'yang', 'memungkinkan', 'terjadi', 'pembelajaran', 'yang', 'interaktif', 'aplikasi', 'tersebut', 'kalau', 'berkenan', 'dikembangkan', 'menjadi', 'soft', 'file', 'yang', 'dibagikan', 'kpada', 'seluruh', 'sekolah', 'se', 'indonesia', 'terima', 'kasih', 'salam', 'dari', 'pojok', 'timur', 'indonesia']","['menteri', 'pelaksanaan', 'pembelajaran', 'sekolah', 'kali', 'guru', 'dihadapkan', 'masalh', 'teknis', 'pembelajaran', 'daring', 'aplikasi', 'pembelajaran', 'daring', 'pembelajaran', 'berjalan', 'efektif', 'efisien', 'keterbatasan', 'fasilitas', 'bgi', 'peserta', 'didik', 'kemampuan', 'ekonomi', 'orang', 'tua', 'membeli', 'smartphone', 'media', 'pembelajaran', 'pendukung', 'didukung', 'jaringan', 'listrik', 'internet', 'harapan', 'kpd', 'menteri', 'perhatian', 'upaya', 'melaksanakan', 'pembelajaran', 'daring', 'pandemi', 'kemendikbud', 'mengembangkan', 'aplikasi', 'utama', 'pembelajaran', 'guru', 'siswa', 'pembelajaran', 'interaktif', 'aplikasi', 'berkenan', 'dikembangkan', 'soft', 'file', 'dibagikan', 'kpada', 'sekolah', 'indonesia', 'terima', 'kasih', 'salam', 'pojok', 'timur', 'indonesia']","['menteri', 'laksana', 'ajar', 'sekolah', 'kali', 'guru', 'hadap', 'masalh', 'teknis', 'ajar', 'daring', 'aplikasi', 'ajar', 'daring', 'ajar', 'jalan', 'efektif', 'efisien', 'batas', 'fasilitas', 'bgi', 'serta', 'didik', 'mampu', 'ekonomi', 'orang', 'tua', 'beli', 'smartphone', 'media', 'ajar', 'dukung', 'dukung', 'jaring', 'listrik', 'internet', 'harap', 'kpd', 'menteri', 'perhati', 'upaya', 'laksana', 'ajar', 'daring', 'pandemi', 'kemendikbud', 'kembang', 'aplikasi', 'utama', 'ajar', 'guru', 'siswa', 'ajar', 'interaktif', 'aplikasi', 'kenan', 'kembang', 'soft', 'file', 'bagi', 'kpada', 'sekolah', 'indonesia', 'terima', 'kasih', 'salam', 'pojok', 'timur', 'indonesia']",menteri laksana ajar sekolah kali guru hadap masalh teknis ajar daring aplikasi ajar daring ajar jalan efektif efisien batas fasilitas bgi serta didik mampu ekonomi orang tua beli smartphone media ajar dukung dukung jaring listrik internet harap kpd menteri perhati upaya laksana ajar daring pandemi kemendikbud kembang aplikasi utama ajar guru siswa ajar interaktif aplikasi kenan kembang soft file bagi kpada sekolah indonesia terima kasih salam pojok timur indonesia
5,Li Susanto,"Yth Bpk. Menteri. Sampai saat ini sekolah (swasta) tempat saya menyekolahkan anak-anak saya sedikitpun tidak memberikan pemotongan SPP. Saya mendengar (entah benar/tidak) bahwa kemendikbud telah mengeluarkan aturan agar sekolah melakukan pemotongan SPP. Jika benar demikian, seperti banyak kebijakan lainnya, jika tanpa pengawasan dan sangsi tegas maka praktek di lapangan akan selalu seperti ini, apalagi mengingat posisi sekolah swasta yang merupaka suatu ""bisnis"" yang tidak akan mengikuti suatu aturan jika idak ada sangsi tegas bagi mereka. Akan sangat baik aturan tersebut tidak hanya sekedar himbauan tapi juga disertai pengawasan dan bahkan lebih baik lagi jika diberikan fasilitas untuk pengaduan (yang ada operator aktifnya, tidak hanya nomor telepon belaka yang tidak dapat dihubungi) jika ada sekolah yang tidak menerapkan aturan yang telah ditentukan oleh kemendikbud terkait kewajiban pemotongan SPP ini. Tks",netral,2020-07-27T13:29:58Z,netral,"Yth Bpk. Menteri. Sampai saat ini sekolah (swasta) tempat saya menyekolahkan anak-anak saya sedikitpun tidak memberikan pemotongan SPP. Saya mendengar (entah benar/tidak) bahwa kemendikbud telah mengeluarkan aturan agar sekolah melakukan pemotongan SPP. Jika benar demikian, seperti banyak kebijakan lainnya, jika tanpa pengawasan dan sangsi tegas maka praktek di lapangan akan selalu seperti ini, apalagi mengingat posisi sekolah swasta yang merupaka suatu ""bisnis"" yang tidak akan mengikuti suatu aturan jika idak ada sangsi tegas bagi mereka. Akan sangat baik aturan tersebut tidak hanya sekedar himbauan tapi juga disertai pengawasan dan bahkan lebih baik lagi jika diberikan fasilitas untuk pengaduan (yang ada operator aktifnya, tidak hanya nomor telepon belaka yang tidak dapat dihubungi) jika ada sekolah yang tidak menerapkan aturan yang telah ditentukan oleh kemendikbud terkait kewajiban pemotongan SPP ini. Tks","['yth', 'bpk', 'menteri', 'sampai', 'saat', 'ini', 'sekolah', 'swasta', 'tempat', 'saya', 'menyekolahkan', 'anakanak', 'saya', 'sedikitpun', 'tidak', 'memberikan', 'pemotongan', 'spp', 'saya', 'mendengar', 'entah', 'benartidak', 'bahwa', 'kemendikbud', 'telah', 'mengeluarkan', 'aturan', 'agar', 'sekolah', 'melakukan', 'pemotongan', 'spp', 'jika', 'benar', 'demikian', 'seperti', 'banyak', 'kebijakan', 'lainnya', 'jika', 'tanpa', 'pengawasan', 'dan', 'sangsi', 'tegas', 'maka', 'praktek', 'di', 'lapangan', 'akan', 'selalu', 'seperti', 'ini', 'apalagi', 'mengingat', 'posisi', 'sekolah', 'swasta', 'yang', 'merupaka', 'suatu', 'bisnis', 'yang', 'tidak', 'akan', 'mengikuti', 'suatu', 'aturan', 'jika', 'idak', 'ada', 'sangsi', 'tegas', 'bagi', 'mereka', 'akan', 'sangat', 'baik', 'aturan', 'tersebut', 'tidak', 'hanya', 'sekedar', 'himbauan', 'tapi', 'juga', 'disertai', 'pengawasan', 'dan', 'bahkan', 'lebih', 'baik', 'lagi', 'jika', 'diberikan', 'fasilitas', 'untuk', 'pengaduan', 'yang', 'ada', 'operator', 'aktifnya', 'tidak', 'hanya', 'nomor', 'telepon', 'belaka', 'yang', 'tidak', 'dapat', 'dihubungi', 'jika', 'ada', 'sekolah', 'yang', 'tidak', 'menerapkan', 'aturan', 'yang', 'telah', 'ditentukan', 'oleh', 'kemendikbud', 'terkait', 'kewajiban', 'pemotongan', 'spp', 'ini', 'tks']","['yth', 'bapak', 'menteri', 'sampai', 'saat', 'ini', 'sekolah', 'swasta', 'tempat', 'saya', 'menyekolahkan', 'anakanak', 'saya', 'sedikitpun', 'tidak', 'memberikan', 'pemotongan', 'spp', 'saya', 'mendengar', 'entah', 'benartidak', 'bahwa', 'kemendikbud', 'telah', 'mengeluarkan', 'aturan', 'agar', 'sekolah', 'melakukan', 'pemotongan', 'spp', 'jika', 'benar', 'demikian', 'seperti', 'banyak', 'kebijakan', 'lainnya', 'jika', 'tanpa', 'pengawasan', 'dan', 'sangsi', 'tegas', 'maka', 'praktek', 'di', 'lapangan', 'akan', 'selalu', 'seperti', 'ini', 'apalagi', 'mengingat', 'posisi', 'sekolah', 'swasta', 'yang', 'merupaka', 'suatu', 'bisnis', 'yang', 'tidak', 'akan', 'mengikuti', 'suatu', 'aturan', 'jika', 'idak', 'ada', 'sangsi', 'tegas', 'bagi', 'mereka', 'akan', 'sangat', 'baik', 'aturan', 'tersebut', 'tidak', 'hanya', 'sekedar', 'himbauan', 'tapi', 'juga', 'disertai', 'pengawasan', 'dan', 'bahkan', 'lebih', 'baik', 'lagi', 'jika', 'diberikan', 'fasilitas', 'untuk', 'pengaduan', 'yang', 'ada', 'operator', 'aktifnya', 'tidak', 'hanya', 'nomor', 'telepon', 'belaka', 'yang', 'tidak', 'dapat', 'dihubungi', 'jika', 'ada', 'sekolah', 'yang', 'tidak', 'menerapkan', 'aturan', 'yang', 'telah', 'ditentukan', 'oleh', 'kemendikbud', 'terkait', 'kewajiban', 'pemotongan', 'spp', 'ini', 'tks']","['menteri', 'sekolah', 'swasta', 'menyekolahkan', 'anakanak', 'sedikitpun', 'pemotongan', 'spp', 'mendengar', 'benartidak', 'kemendikbud', 'mengeluarkan', 'aturan', 'sekolah', 'pemotongan', 'spp', 'kebijakan', 'pengawasan', 'sangsi', 'praktek', 'lapangan', 'posisi', 'sekolah', 'swasta', 'merupaka', 'bisnis', 'mengikuti', 'aturan', 'idak', 'sangsi', 'aturan', 'sekedar', 'himbauan', 'disertai', 'pengawasan', 'fasilitas', 'pengaduan', 'operator', 'aktifnya', 'nomor', 'telepon', 'belaka', 'dihubungi', 'sekolah', 'menerapkan', 'aturan', 'ditentukan', 'kemendikbud', 'terkait', 'kewajiban', 'pemotongan', 'spp', 'tks']","['menteri', 'sekolah', 'swasta', 'sekolah', 'anakanak', 'sedikit', 'potong', 'spp', 'dengar', 'benartidak', 'kemendikbud', 'keluar', 'atur', 'sekolah', 'potong', 'spp', 'bijak', 'awas', 'sangsi', 'praktek', 'lapang', 'posisi', 'sekolah', 'swasta', 'merupaka', 'bisnis', 'ikut', 'atur', 'idak', 'sangsi', 'atur', 'dar', 'himbauan', 'serta', 'awas', 'fasilitas', 'adu', 'operator', 'aktif', 'nomor', 'telepon', 'belaka', 'hubung', 'sekolah', 'terap', 'atur', 'tentu', 'kemendikbud', 'kait', 'wajib', 'potong', 'spp', 'tks']",menteri sekolah swasta sekolah anakanak sedikit potong spp dengar benartidak kemendikbud keluar atur sekolah potong spp bijak awas sangsi praktek lapang posisi sekolah swasta merupaka bisnis ikut atur idak sangsi atur dar himbauan serta awas fasilitas adu operator aktif nomor telepon belaka hubung sekolah terap atur tentu kemendikbud kait wajib potong spp tks
6,Totanium TV,"You sir, already get my respect.. Mas Menteri salah satu hasil pemilihan pejabat yang tepat dr bpk Jokowi.. Berkualitas dan berpikir besar..",positif,2020-07-14T06:30:12Z,positif,"You sir, already get my respect.. Mas Menteri salah satu hasil pemilihan pejabat yang tepat dr bpk Jokowi.. Berkualitas dan berpikir besar..","['you', 'sir', 'already', 'get', 'my', 'respect', 'mas', 'menteri', 'salah', 'satu', 'hasil', 'pemilihan', 'pejabat', 'yang', 'tepat', 'dr', 'bpk', 'jokowi', 'berkualitas', 'dan', 'berpikir', 'besar']","['you', 'sir', 'already', 'get', 'my', 'respect', 'mas', 'menteri', 'salah', 'satu', 'hasil', 'pemilihan', 'pejabat', 'yang', 'tepat', 'dari', 'bapak', 'jokowi', 'berkualitas', 'dan', 'berpikir', 'besar']","['you', 'sir', 'already', 'get', 'my', 'respect', 'mas', 'menteri', 'salah', 'hasil', 'pemilihan', 'pejabat', 'jokowi', 'berkualitas', 'berpikir']","['you', 'sir', 'already', 'get', 'my', 'respect', 'mas', 'menteri', 'salah', 'hasil', 'pilih', 'jabat', 'jokowi', 'kualitas', 'pikir']",you sir already get my respect mas menteri salah hasil pilih jabat jokowi kualitas pikir
7,Jaya Pradha,You should be the next President. Indonesia needs more people like you Mas Menteri.,positif,2020-07-13T17:00:32Z,positif,You should be the next President. Indonesia needs more people like you Mas Menteri.,"['you', 'should', 'be', 'the', 'next', 'president', 'indonesia', 'needs', 'more', 'people', 'like', 'you', 'mas', 'menteri']","['you', 'should', 'be', 'the', 'next', 'president', 'indonesia', 'needs', 'more', 'people', 'like', 'you', 'mas', 'menteri']","['you', 'should', 'be', 'the', 'next', 'president', 'indonesia', 'needs', 'more', 'people', 'like', 'you', 'mas', 'menteri']","['you', 'should', 'be', 'the', 'next', 'president', 'indonesia', 'needs', 'more', 'people', 'like', 'you', 'mas', 'menteri']",you should be the next president indonesia needs more people like you mas menteri
8,#Analisa K,"Yg terbaik???\n \nBung anda ini jangan hanya melihat indonesia di Jakarta atau kota2 besar di indonesia yang serba modern... tpi lihatlah diluar dari itu... lihat lah masayarakat kecil, daerah terpencil yang serba kekurangan di bidang teknologi",negatif,2020-11-02T03:24:03Z,negatif,"Yg terbaik???\n \nBung anda ini jangan hanya melihat indonesia di Jakarta atau kota2 besar di indonesia yang serba modern... tpi lihatlah diluar dari itu... lihat lah masayarakat kecil, daerah terpencil yang serba kekurangan di bidang teknologi","['yg', 'terbaik', 'bung', 'anda', 'ini', 'jangan', 'hanya', 'melihat', 'indonesia', 'di', 'jakarta', 'atau', 'kota', 'besar', 'di', 'indonesia', 'yang', 'serba', 'modern', 'tpi', 'lihatlah', 'diluar', 'dari', 'itu', 'lihat', 'lah', 'masayarakat', 'kecil', 'daerah', 'terpencil', 'yang', 'serba', 'kekurangan', 'di', 'bidang', 'teknologi']","['yang', 'terbaik', 'bung', 'anda', 'ini', 'jangan', 'hanya', 'melihat', 'indonesia', 'di', 'jakarta', 'atau', 'kota', 'besar', 'di', 'indonesia', 'yang', 'serba', 'modern', 'tpi', 'lihatlah', 'diluar', 'dari', 'itu', 'lihat', 'lah', 'masayarakat', 'kecil', 'daerah', 'terpencil', 'yang', 'serba', 'kekurangan', 'di', 'bidang', 'teknologi']","['terbaik', 'indonesia', 'jakarta', 'kota', 'indonesia', 'serba', 'modern', 'tpi', 'lihatlah', 'diluar', 'lihat', 'masayarakat', 'daerah', 'terpencil', 'serba', 'kekurangan', 'bidang', 'teknologi']","['baik', 'indonesia', 'jakarta', 'kota', 'indonesia', 'serba', 'modern', 'tpi', 'lihat', 'luar', 'lihat', 'masayarakat', 'daerah', 'pencil', 'serba', 'kurang', 'bidang', 'teknologi']",baik indonesia jakarta kota indonesia serba modern tpi lihat luar lihat masayarakat daerah pencil serba kurang bidang teknologi
9,Dhika Dhikaa,Yg terbaik dan menguntungkan ??,negatif,2020-07-11T18:48:27Z,negatif,Yg terbaik dan menguntungkan ??,"['yg', 'terbaik', 'dan', 'menguntungkan']","['yang', 'terbaik', 'dan', 'menguntungkan']","['terbaik', 'menguntungkan']","['baik', 'untung']",baik untung
