,content,sentimen,TF_IDF
0,"['semangat', 'menteri']",positif,"[1.1782024876977468, 1.8167500222751962]"
1,"['syukur', 'beliau', 'menteri', 'didik', 'era', 'pandemi', 'gin', 'dapet', 'boomer', 'menteri', 'jatah', 'partai']",positif,"[0.5019794405670284, 0.6595330766428703, 0.26635051337043764, 0.5679040034554548, 0.5054885725481553, 0.7000795874536867, 0.47128099507909876, 0.35912996900600164, 0.5679040034554548]"
2,"['kurikulum', 'mudah', 'nadiem', 'rasa', 'transisi', 'moratorium', 'kurikulum', 'sesuai', 'kondisi', 'krisis', 'sulit', 'kait', 'penting', 'teknis', 'politis', 'harap', 'sulit', 'perintah', 'akselerasi', 'kurikulum', 'bas', 'bencana', 'bencana', 'kait', 'corona', 'bencana', 'alam', 'jenis', 'bencana', 'daerah', 'tibatiba', 'kena', 'bencana', 'dinas', 'didik', 'sop', 'terap', 'ajar', 'kondisi', 'butuh', 'utnuk', 'kumpul', 'metode', 'telaah', 'terap', 'lapang', 'teliti', 'gali', 'metode', 'sesuai', 'beda', 'fasilitas', 'kondisi', 'sekolah', 'harap', 'mahasiswa', 'didik', 'tarik', 'teliti', 'isu', 'sudut', 'pandang', 'sisi', 'tumbuh', 'kembang']",netral,"[0.04715645515339553, 0.0980749589314526, 0.12213575493386486, 0.09360899491632504, 0.7765824292274774, 0.08747275165790945, 0.10284957206667668, 0.08795377918389576, 0.09864833828534726, 0.11462714182075069, 0.10781742367028184, 0.18466269829609633, 0.12551208005967882, 0.2218220356614217, 0.1039722502484625, 0.10179108292149244, 0.27004053950225526, 0.09172413020688168, 0.10781742367028184, 0.2583011454096327, 0.0929591556605608, 0.0980749589314526, 0.207944500496925, 0.08179256152045619, 0.044927498074694136, 0.11928111271484154, 0.11462714182075069, 0.08362757823609011, 0.10516740804730643, 0.04731866219209704, 0.18344826041376336, 0.10781742367028184, 0.12551208005967882, 0.16289282181824008, 0.12213575493386486, 0.25102416011935763, 0.21033481609461285, 0.12551208005967882]"
3,"['salut', 'nadiem', 'cerdas', 'pintar', 'solusi', 'sistem', 'didik', 'indonesia', 'pandemi', 'covid', 'landa', 'masyarakat', 'inonesia', 'semangat', 'nadiem', 'doa', 'untuk', 'sehat']",positif,"[0.2861830448956437, 0.2555475562704144, 0.1775670089136251, 0.37025845944003605, 0.2107562374629037, 0.32404864740270634, 0.32347798613779777, 0.2394199793373344, 0.32404864740270634, 0.3346529603780189, 0.25625303022578355, 0.2422333363033595, 0.2850810914322297, 0.33699238169877016]"
4,"['salam', 'sehat', 'nadiem', 'gagas', 'bentuk', 'small', 'group', 'ajar', 'tatap', 'muka', 'interaksi', 'minimum', 'tarik', 'indonesia', 'kurang', 'sdm', 'guru', 'kurang', 'guru', 'butuh', 'perhati', 'kondisi', 'sdm', 'guru', 'status', 'honorer']",positif,"[0.11071515557753733, 0.26039978099384287, 0.20537080824030915, 0.28675351158385665, 0.30438242932768983, 0.40030046632337485, 0.26039978099384287, 0.13744972008450243, 0.26454370185490045, 0.21133607439306937, 0.4529596874181575, 0.16272605810936452, 0.1054819520014558, 0.2366370111517529, 0.26912459384002335, 0.5893610715845788, 0.16712154145159797, 0.30438242932768983, 0.16148962613890655]"
5,"['dunia', 'orang', 'orang', 'buruk', 'buruk', 'percaya', 'harga', 'orang', 'usaha', 'maksimal', 'usaha', 'baik', 'contoh', 'pandemi', 'contoh', 'mas', 'nadiem', 'orang', 'buruk', 'situasi', 'pandemi', 'perintah', 'orang', 'usaha', 'apresiasi', 'gapapa', 'mas', 'nadiem', 'usaha', 'dengar', 'orang', 'cela', 'orang', 'sadar', 'usaha']",positif,"[0.12326371809895126, 0.553329711175196, 0.3255647753318007, 0.16278238766590036, 0.13686740782575896, 0.19014078570820972, 0.18194190244360062, 0.19998152686350013, 0.1516303060020927, 0.6268564132675492, 0.224456230628751, 0.15796517892129852, 0.14112153827340207, 0.16695524368541667, 0.1735586528625169, 0.7549597147136475]"
6,"['the', 'best', 'menteri']",positif,"[1.7227381369295185, 0.7854683251318312, 1.512314211315566]"
7,"['vaksin', 'sembuh', 'obat', 'gess']",netral,[6.084505142662711]
8,"['fenomena', 'anak', 'smp', 'adek', 'temen', 'main', 'game', 'kagak', 'ajar', 'wkwkwkk']",negatif,"[0.847206540402832, 0.31830607228541985, 0.34095100248714194, 0.7277676097744025, 0.847206540402832, 0.6004464121500809, 0.6460268013485695, 0.7185041132551873]"
9,"['syukur', 'saat', 'pandemi', 'nadiem', 'jabat', 'pusing', 'ajar', 'nemu', 'solusi', 'rasa', 'banget', 'ajar', 'coba', 'ngejabat', 'nadiem', 'ancuran', 'yuk', 'ajar', 'ajar', 'online', 'hp', 'kuota', 'kurang', 'keluh']",positif,"[0.5092897156566718, 0.21547763958755192, 0.22375336151143055, 0.23880861615062665, 0.2625798009863804, 0.2994597481429193, 0.22179232585376651, 0.2604518202654406, 0.24260848960334835, 0.18761806237135606, 0.17956498450300082, 0.291107043909761, 0.2839520017277274, 0.3220590043300722, 0.25274428627407763, 0.2839520017277274]"
